"District_C11ID","Area.Other.Kharif.Pulses","Prod.Other.Kharif.Pulses","Yield.Other.Kharif.Pulses","Area.Moong","Prod.Moong","Yield.Moong","Area.Moth","Prod.Moth","Yield.Moth","Area.Other.Rabi.Pulses","Prod.Other.Rabi.Pulses","Yield.Other.Rabi.Pulses","Area.Peas...Beans..Pulses.","Prod.Peas...Beans..Pulses.","Yield.Peas...Beans..Pulses.","Area.Urad","Prod.Urad","Yield.Urad","Area.Gram","Prod.Gram","Yield.Gram","Area.Masoor","Prod.Masoor","Yield.Masoor","Area.HorseGram","Prod.HorseGram","Yield.HorseGram","Area.Arhar..Tur.","Prod.Arhar..Tur.","Yield.Arhar..Tur.","areaTot","prodTot","yieldTot","diversity","dominant_pulses"
100,2.83333333333333,1.2,0.516,9021.5,4013,0.4,39224.8,12827.1,0.281,1,NA,NA,45.3333333333333,69.3333333333333,1.48833333333333,90.9,29.5,0.337,153142,61215.8,0.393,1.28571428571429,1,0.904285714285714,NA,NA,NA,20,12.5555555555556,0.714444444444444,201549.652380952,78169.4888888889,0.387842340413167,1.62019482755882,"Area.Gram"
101,8.28571428571429,2.14285714285714,0.308571428571429,1722.2,655,0.305,281824.8,52712.6,0.163,12,12,1,28.8333333333333,20.5,0.803333333333333,3.2,2,0.5375,113292.2,76058.9,0.669,1.42857142857143,1.28571428571429,0.871428571428571,NA,NA,NA,1.83333333333333,1,0.586,396894.780952381,129465.428571429,0.326195845308839,1.70734684677262,"Area.Moth"
102,753.888888888889,264.777777777778,0.297777777777778,33706.4,14649.6,0.379,240616.1,49415.8,0.181,NA,NA,NA,NA,NA,NA,1.5,1,0.5,177420,52406.3,0.244,1.66666666666667,3.33333333333333,1.55666666666667,NA,NA,NA,NA,NA,NA,452499.555555556,116740.811111111,0.257990996185141,2.26222924408998,"Area.Moth"
103,26320.1111111111,8455.66666666667,0.324444444444444,22505.3,6698.1,0.279,1227.8,218.6,0.155,94,144,1.655,17.75,33.5,1.75,NA,NA,NA,68612.3,66963.3,0.991,NA,NA,NA,NA,NA,NA,1,1,1,118778.261111111,82514.1666666667,0.694690812062645,2.38783301853729,"Area.Gram"
104,18.1111111111111,5.88888888888889,0.298888888888889,44.3,12.9,0.278,13.2222222222222,3.125,0.2425,88,78,0.7025,339.166666666667,465.166666666667,1.39833333333333,11.9,3.8,0.357,23564.4,21633,0.967,81,74.5,0.9,NA,NA,NA,1894.11111111111,1457.22222222222,0.768888888888889,26054.2111111111,23733.6027777778,0.910931544868626,1.21434928166859,"Area.Gram"
105,79,4.44444444444444,0.293333333333333,79.8,25.7,0.279,88.2,18.8,0.194,65.6666666666667,126.166666666667,1.31333333333333,130.166666666667,217.333333333333,1.66333333333333,94,31.9,0.335,9805.6,10081.6,1.026,5679.6,6739.4,1.114,NA,NA,NA,283.888888888889,228.333333333333,0.763333333333333,16305.9222222222,17473.6777777778,1.07161542534308,2.06850588801852,"Area.Gram"
106,26.8888888888889,9.11111111111111,0.324444444444444,129.2,38.5,0.28,10,2.55555555555556,0.265555555555556,73.6666666666667,111,1.51,114,128.333333333333,1.13666666666667,230.6,77.7,0.334,3430.8,3151,0.989,31.1111111111111,28.5555555555556,0.88,NA,NA,NA,928.555555555556,591.444444444444,0.69,4974.82222222222,4138.2,0.831828719730912,1.94525390956078,"Area.Gram"
107,5.75,1.85714285714286,0.414285714285714,19.9,4.4,0.287,55.9,10.5,0.201,3.8,16.6,4.8,7.6,9.4,1.292,77.7,26.3,0.332,15081.5,16988.5,1.132,2.2,2,0.95,NA,NA,NA,362.222222222222,331.777777777778,0.853333333333333,15616.5722222222,17391.3349206349,1.11364611088515,1.07155249610223,"Area.Gram"
108,7.66666666666667,2.875,0.365,233.7,75.8,0.28,93.6,18,0.2,31.8333333333333,24.6666666666667,0.705,43,51.5,1.20333333333333,3532.3,1419.6,0.471,14476.6,14652.9,0.973,24.2222222222222,20.5555555555556,0.882222222222222,NA,NA,NA,1333.33333333333,472.111111111111,0.571111111111111,19776.2555555556,16738.0083333333,0.84636893401346,1.74681195132234,"Area.Gram"
109,138.444444444444,38.8888888888889,0.314444444444444,103.1,31,0.276,116,21.2,0.191,10.5,19.6666666666667,1.62166666666667,36.1666666666667,58.5,1.4,15.4,5.2,0.349,8784,8253.2,0.928,1,1,1,NA,NA,NA,88.1111111111111,47.6666666666667,0.508888888888889,9292.72222222222,8476.32222222222,0.912146303260018,1.11841990028561,"Area.Gram"
110,10262.5555555556,3867.55555555556,0.372222222222222,59730.1,21261.8,0.351,969.3,161.8,0.18,8.75,10,0.83,7628.33333333333,17359.5,2.285,1284.9,469.6,0.315,30455.4,23469.7,0.809,1.875,2,1.1875,NA,NA,NA,273.222222222222,228.333333333333,0.89,110614.436111111,66830.2888888889,0.604173299963836,2.62487061204653,"Area.Moong"
111,55105.6666666667,17064.6666666667,0.312222222222222,14179.7,3786.3,0.258,8406.8,1393.4,0.165,NA,NA,NA,18,20.75,1.125,1.66666666666667,0.666666666666667,0.516666666666667,48842.5,50422.5,1.033,NA,NA,NA,NA,NA,NA,37.4285714285714,6,0.588571428571429,126591.761904762,72694.2833333333,0.574241816683324,2.81446696680995,"Area.Other.Kharif.Pulses"
112,20877.7777777778,5850.33333333333,0.277777777777778,196333.2,63934.3,0.31,198485.5,48308,0.237,1925.66666666667,3102.33333333333,1.66333333333333,1171.16666666667,1875.83333333333,1.41,43.4,23.5,0.4,23166.8,23083.5,1.003,1,1,1,NA,NA,NA,17,6,0.29,442021.511111111,146184.8,0.330718746317424,2.47568207519768,"Area.Moth"
113,72.8888888888889,21,0.308888888888889,81551.5,20169.1,0.224,158745,26923.9,0.15,NA,NA,NA,136,198.4,3.442,NA,NA,NA,567.5,383.4,0.665,NA,NA,NA,NA,NA,NA,2,1,0.5,241074.888888889,47696.8,0.197850552663672,1.82465732182226,"Area.Moth"
114,14.75,0.75,0.2825,2252.5,533.6,0.201,1032.9,266.8,0.199,9.66666666666667,5,0.296666666666667,NA,NA,NA,2.66666666666667,0.666666666666667,0.193333333333333,30518.6,16652,0.625,2,1,0.676666666666667,NA,NA,NA,14.3333333333333,2.66666666666667,0.173333333333333,33847.4166666667,17462.4833333333,0.515917758371515,1.22199008659071,"Area.Gram"
115,1.25,1,0.833333333333333,48558,7053.9,0.137,212710,50675.5,0.224,NA,NA,NA,4,5,1.25,11,4,0.36,525.555555555556,416.444444444444,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,261809.805555556,58155.8444444444,0.222130123510992,1.43989594415736,"Area.Moth"
116,297.444444444444,110.555555555556,0.357777777777778,77835.9,20026.8,0.25,25062,9490.9,0.31,37.6666666666667,38.3333333333333,1.03666666666667,2,4,2,29.6666666666667,9.4,0.346,3768,2862.2,0.684,2,2,1,NA,NA,NA,2.33333333333333,0.666666666666667,0.283333333333333,107037.011111111,32544.8555555556,0.304052357382924,1.70977911953301,"Area.Moong"
117,2363.44444444444,1275.55555555556,0.516666666666667,7167.2,2123.9,0.267,26,8.375,0.2275,102,155.666666666667,0.781666666666667,6,6,1,899.6,292.9,0.317,2731.8,1984.4,0.687,6,6,1,NA,NA,NA,617.125,541.142857142857,0.771428571428571,13919.1694444444,6393.94007936508,0.459362184280118,2.95256502127866,"Area.Moong"
118,1598.11111111111,302.333333333333,0.181111111111111,64868,16075.5,0.244,2853.9,444.8,0.14,29.75,30.5,0.6725,30.3333333333333,32.5,1.06666666666667,106.3,38.2,0.33,10102.6,7591.4,0.786,6,7.33333333333333,1.09,NA,NA,NA,108.625,40,0.351428571428571,79703.6194444444,24562.5666666667,0.308173792330566,1.47030571079391,"Area.Moong"
119,1689.55555555556,437.125,0.24375,73493.8,20969.6,0.282,2042.4,354.666666666667,0.173333333333333,15.6666666666667,15.3333333333333,0.86,136.333333333333,250.166666666667,1.67666666666667,8304.5,2539,0.295,12380.9,6089.6,0.49,5.25,4.75,0.92375,NA,NA,NA,26.8333333333333,6,0.346,98095.2388888889,30666.2416666667,0.312617024169765,1.70898572447412,"Area.Moong"
120,77.5555555555556,26.7777777777778,0.311111111111111,50193.1,13877.2,0.266,60.8,11.8,0.199,148.25,130.75,0.75625,54.8333333333333,189.833333333333,3.19333333333333,12944.3,4364.7,0.361,18160,11148.9,0.625,110.5,94.8,0.783,NA,NA,NA,14.375,5.8,0.306,81763.7138888889,29850.5611111111,0.365083234253228,2.21607304695481,"Area.Moong"
121,11.5714285714286,5,0.428333333333333,155.7,48.8,0.277,145.333333333333,21.3333333333333,0.153333333333333,280.142857142857,384.714285714286,1.04714285714286,1206,2254.83333333333,2.04833333333333,12404,5049.4,0.455,10495.9,9488.6,0.943,4102.3,3646.8,0.877,NA,NA,NA,208.666666666667,106.777777777778,0.543333333333333,29009.6142857143,21006.2587301587,0.724113686010062,2.97924006407853,"Area.Urad"
122,1309.22222222222,395.555555555556,0.311111111111111,15694.9,4499.6,0.276,14.8,3.2,0.308,82.7142857142857,76.1428571428571,0.824285714285714,75.5,80.1666666666667,1.06166666666667,35296.7,10234.5,0.304,16937.8,14993.4,0.785,3590.4,3077.8,0.875,NA,NA,NA,174.125,52.7142857142857,0.482857142857143,73176.1615079365,33413.0793650794,0.456611534091679,2.98526992500995,"Area.Urad"
